[X] ||| Arizona ||| 'az' ||| 1.38629 0 1 1.00000 1.38629 0 ||| 0-0
[X] ||| Arizona ||| 'arizona' ||| 0.28768 0 1 0.13534 0.28768 0 ||| 0-0
[X] ||| Arkansas ||| 'arkansas' ||| 0 0 1 0.04979 0 0 ||| 0-0
[X] ||| Arkansas . ||| stateid( 'arkansas' ||| 0.52325 3.52083 1 0.36788 0 0.40547 ||| 0-1 1-0
[X] ||| Arkansas ? ||| stateid( 'arkansas' ||| 0.44792 0.69871 1 1.00000 0 1.09861 ||| 0-1 1-0
[X] ||| Arkansas [X,1] ||| [X,1] 'arkansas' ||| 0 0 1 0.13534 0 0 ||| 0-1
[X] ||| Dakota ||| dakota' ||| 0.18232 0 1 0.01832 0 0 ||| 0-0
[X] ||| Francisco ||| francisco', ||| 0 0 1 0.36788 0 0 ||| 0-0
[X] ||| Francisco ? ||| francisco', _ ||| 2.25844 0 1 0.36788 0 0 ||| 0-0 1-1
[X] ||| Francisco [X,1] ||| francisco', [X,1] ||| 0 0 1 0.36788 0 0 ||| 0-0
[X] ||| How ||| cityid( ||| 0.58779 1.64866 1 1.00000 0 3.52636 ||| 0-0
[X] ||| How long is ||| len( riverid( ||| 1.44047 5.24467 1 1.00000 0 0.69315 ||| 0-1 1-0 2-1
[X] ||| How long is Rio ||| len( riverid( 'rio ||| 1.44047 5.24467 1 1.00000 0 0 ||| 0-1 1-0 2-1 3-2
[X] ||| How long is Rio Grande ||| len( riverid( 'rio grande' ||| 1.44047 5.24467 1 1.00000 0 0 ||| 0-1 1-0 2-1 3-2 4-3
[X] ||| How long is Rio [X,1] ||| len( riverid( 'rio [X,1] ||| 1.44047 5.24467 1 1.00000 0 0 ||| 0-1 1-0 2-1 3-2
[X] ||| How long is the ||| len( riverid( ||| 1.62828 6.24063 1 1.00000 0 0.69315 ||| 0-1 1-0 2-1 3-1
[X] ||| How long is the Delaware river ? ||| len( river( riverid( 'delaware' ||| 1.83837 8.46525 1 1.00000 0 0 ||| 0-2 1-0 2-2 3-2 4-3 5-1 6-2
[X] ||| How long is the Colorado river ? ||| len( river( riverid( 'colorado' ||| 1.83837 8.46525 1 1.00000 0 0.69315 ||| 0-2 1-0 2-2 3-2 4-3 5-1 6-2
[X] ||| How long is the North Platte river ? ||| len( river( riverid( 'north platte' ||| 1.83837 8.46525 1 1.00000 0 0 ||| 0-2 1-0 2-2 3-2 4-3 5-4 6-1 7-2
[X] ||| How long is the Rio Grande river ? ||| len( river( riverid( 'rio grande' ||| 1.83837 8.46525 1 1.00000 0 0 ||| 0-2 1-0 2-2 3-2 4-3 5-4 6-1 7-2
[X] ||| How long is the Mississippi ||| len( riverid( 'mississippi' ||| 1.62828 6.24063 1 1.00000 0 0 ||| 0-1 1-0 2-1 3-1 4-2
[X] ||| How long is the Mississippi river ? ||| len( river( riverid( 'mississippi' ||| 1.83837 8.46525 1 1.00000 0 1.09861 ||| 0-2 1-0 2-2 3-2 4-3 5-1 6-2
[X] ||| How long is the Mississippi river in miles ||| len( river( riverid( 'mississippi' ||| 0.92331 16.26828 1 1.00000 0 1.09861 ||| 0-2 1-0 2-2 3-2 4-3 5-1 7-2
[X] ||| How long is the Missouri river ? ||| len( river( riverid( 'missouri' ||| 1.95615 8.46525 1 1.00000 0 0 ||| 0-2 1-0 2-2 3-2 4-3 5-1 6-2
[X] ||| How long is the Ohio river ? ||| len( river( riverid( 'ohio' ||| 1.83837 8.46525 1 1.00000 0 0 ||| 0-2 1-0 2-2 3-2 4-3 5-1 6-2
[X] ||| How long is the [X,1] ||| len( riverid( [X,1] ||| 1.62828 6.24063 1 1.00000 0 1.09861 ||| 0-1 1-0 2-1 3-1
[X] ||| How long is [X,1] ||| len( riverid( [X,1] ||| 1.44047 5.24467 1 0.36788 0 0.40547 ||| 0-1 1-0 2-1
[X] ||| How long is [X,1] Grande ||| len( riverid( [X,1] grande' ||| 1.44047 5.24467 1 1.00000 0 0 ||| 0-1 1-0 2-1 4-3
[X] ||| How much population does Texas have ? ||| population_1( stateid( 'texas' ||| 1.64396 23.62211 1 1.00000 0 1.38629 ||| 0-1 1-2 2-0 3-1 4-2 6-1
[X] ||| How many Colorado rivers are there ? ||| count( river( riverid( 'colorado' ||| 1.79684 13.37145 1 1.00000 0 0.69315 ||| 0-2 1-0 2-3 3-1 4-2 6-2
[X] ||| How many citizens in ||| population_1( cityid( ||| 1.15664 9.96923 1 1.00000 0 3.52636 ||| 0-1 2-0 3-1
[X] ||| How many citizens in Boulder ||| population_1( cityid( 'boulder', ||| 1.15664 10.22055 1 1.00000 0 1.60944 ||| 0-1 2-0 3-1 4-2
[X] ||| How many citizens in Boulder ? ||| population_1( cityid( 'boulder', _ ||| 3.41508 10.22055 1 1.00000 0 1.60944 ||| 0-1 2-0 3-1 4-2 5-3
[X] ||| How many citizens in [X,1] ||| population_1( cityid( [X,1] ||| 1.15664 9.96923 1 0.36788 0 1.38629 ||| 0-1 2-0 3-1
[X] ||| How many inhabitants does Montgomery ||| cityid( 'montgomery', ||| 0.58779 11.19093 1 1.00000 0 0 ||| 0-0 2-1 4-1
[X] ||| How many inhabitants does Montgomery have ? ||| cityid( 'montgomery', _ ||| 2.84623 16.22136 1 1.00000 0 0 ||| 0-0 2-1 4-1 6-2
[X] ||| How many people in ||| population_1( cityid( ||| 1.15664 8.12341 1 1.00000 0 3.52636 ||| 0-1 2-0 3-1
